iter	Passed	Remaining
422	2844	3880
423	2848	3870
424	2853	3860
425	2858	3851
426	2862	3841
427	2867	3831
428	2871	3821
429	2876	3812
430	2880	3802
431	2884	3792
432	2889	3783
433	2893	3773
434	2897	3763
435	2902	3754
436	2911	3751
437	2915	3741
438	2920	3732
439	2925	3722
440	2929	3713
441	2933	3703
442	2938	3694
443	2947	3691
444	2960	3691
445	2965	3683
446	2969	3673
447	2974	3665
448	2979	3655
449	2983	3646
450	2988	3637
451	2992	3628
452	2996	3618
453	3001	3609
454	3006	3600
455	3010	3591
456	3014	3582
457	3019	3573
458	3024	3564
459	3028	3554
460	3032	3545
461	3037	3536
462	3041	3527
463	3045	3518
464	3050	3509
465	3054	3500
466	3059	3491
467	3063	3482
468	3068	3474
469	3072	3465
470	3077	3456
471	3081	3447
472	3086	3438
473	3090	3429
474	3094	3420
475	3103	3416
476	3115	3416
477	3130	3419
478	3144	3420
479	3153	3416
480	3158	3407
481	3162	3398
482	3167	3390
483	3171	3381
484	3176	3372
485	3181	3364
486	3185	3355
487	3189	3346
488	3193	3337
489	3198	3329
490	3202	3320
491	3207	3311
492	3212	3303
493	3216	3294
494	3220	3286
495	3225	3277
496	3229	3268
497	3234	3260
498	3238	3251
499	3242	3242
500	3247	3234
501	3251	3226
502	3256	3217
503	3260	3208
504	3265	3200
505	3269	3192
506	3273	3183
507	3278	3175
508	3283	3167
509	3287	3158
510	3292	3150
511	3296	3142
512	3300	3133
513	3305	3125
514	3310	3117
515	3314	3109
516	3318	3100
517	3323	3092
518	3327	3083
519	3331	3075
520	3336	3067
521	3340	3059
522	3345	3050
523	3349	3042
524	3353	3034
525	3358	3026
526	3362	3017
527	3366	3009
528	3371	3001
529	3375	2993
530	3379	2985
531	3384	2977
532	3389	2969
533	3393	2961
534	3398	2953
535	3402	2945
536	3406	2937
537	3411	2929
538	3415	2921
539	3419	2913
540	3425	2905
541	3430	2898
542	3434	2890
543	3440	2884
544	3445	2876
545	3451	2869
546	3457	2863
547	3462	2856
548	3466	2848
549	3472	2841
550	3476	2833
551	3481	2825
552	3487	2818
553	3491	2811
554	3496	2803
555	3502	2796
556	3507	2789
557	3511	2781
558	3516	2774
559	3521	2767
560	3527	2759
561	3531	2752
562	3537	2745
563	3549	2744
564	3558	2739
565	3563	2732
566	3569	2726
567	3574	2718
568	3579	2711
569	3584	2704
570	3589	2697
571	3594	2689
572	3599	2682
573	3604	2675
574	3610	2668
575	3615	2661
576	3620	2654
577	3625	2647
578	3631	2640
579	3636	2633
580	3641	2626
581	3645	2618
582	3652	2612
583	3656	2604
584	3661	2597
585	3666	2590
586	3672	2583
587	3676	2575
588	3683	2570
589	3688	2563
590	3692	2555
591	3698	2549
592	3704	2542
593	3708	2534
594	3713	2527
595	3718	2520
596	3722	2513
597	3728	2506
598	3733	2499
599	3738	2492
600	3743	2485
601	3748	2478
602	3754	2471
603	3759	2465
604	3764	2457
605	3769	2451
606	3774	2443
607	3780	2437
608	3793	2435
609	3801	2430
610	3806	2423
611	3811	2416
612	3816	2409
613	3821	2402
614	3827	2395
615	3832	2388
616	3837	2381
617	3843	2375
618	3857	2374
619	3864	2368
620	3869	2361
621	3878	2357
622	3882	2349
623	3887	2342
624	3892	2335
625	3897	2328
626	3901	2321
627	3906	2313
628	3910	2306
629	3914	2299
630	3919	2291
631	3924	2284
632	3928	2277
633	3932	2270
634	3937	2263
635	3942	2256
636	3946	2248
637	3951	2242
638	3956	2235
639	3962	2228
640	3966	2221
641	3971	2214
642	3976	2208
643	3981	2200
644	3987	2194
645	3992	2187
646	3997	2180
647	4001	2173
648	4007	2167
649	4011	2160
650	4016	2153
651	4021	2146
652	4026	2139
653	4030	2132
654	4035	2125
655	4040	2118
656	4044	2111
657	4049	2105
658	4054	2097
659	4058	2090
660	4062	2083
661	4067	2076
662	4072	2069
663	4076	2062
664	4081	2055
665	4085	2048
666	4089	2041
667	4094	2034
668	4098	2027
669	4106	2022
670	4119	2019
671	4129	2015
672	4141	2012
673	4153	2009
674	4159	2002
675	4164	1995
676	4168	1988
677	4172	1981
678	4177	1974
679	4181	1967
680	4186	1960
681	4190	1953
682	4194	1946
683	4200	1940
684	4204	1933
685	4208	1926
686	4213	1919
687	4218	1912
688	4222	1906
689	4227	1899
690	4231	1892
691	4236	1885
692	4240	1878
693	4245	1871
694	4249	1864
695	4253	1857
696	4258	1851
697	4262	1844
698	4267	1837
699	4271	1830
700	4276	1824
701	4280	1817
702	4285	1810
703	4289	1803
704	4293	1796
705	4298	1789
706	4302	1783
707	4307	1776
708	4312	1770
709	4317	1763
710	4322	1756
711	4327	1750
712	4332	1743
713	4337	1737
714	4342	1731
715	4347	1724
716	4351	1717
717	4356	1711
718	4361	1704
719	4366	1698
720	4371	1691
721	4376	1685
722	4381	1678
723	4385	1671
724	4390	1665
725	4395	1658
726	4400	1652
727	4406	1646
728	4410	1639
729	4415	1633
730	4420	1626
731	4425	1620
732	4429	1613
733	4433	1606
734	4438	1600
735	4442	1593
736	4447	1586
737	4451	1580
738	4456	1573
739	4460	1567
740	4464	1560
741	4471	1554
742	4477	1548
743	4481	1542
744	4485	1535
745	4491	1529
746	4496	1522
747	4500	1516
748	4505	1509
749	4510	1503
750	4515	1497
751	4519	1490
752	4524	1484
753	4529	1477
754	4533	1471
755	4538	1464
756	4542	1458
757	4546	1451
758	4552	1445
759	4556	1438
760	4560	1432
761	4565	1425
762	4569	1419
763	4574	1412
764	4578	1406
765	4582	1399
766	4587	1393
767	4591	1387
768	4596	1380
769	4600	1374
770	4605	1367
771	4609	1361
772	4614	1355
773	4618	1348
774	4623	1342
775	4627	1335
776	4632	1329
777	4637	1323
778	4641	1316
779	4646	1310
780	4651	1304
781	4655	1297
782	4659	1291
783	4664	1285
784	4668	1278
785	4672	1272
786	4677	1266
787	4681	1259
788	4686	1253
789	4690	1246
790	4695	1240
791	4699	1234
792	4704	1228
793	4709	1221
794	4713	1215
795	4717	1209
796	4722	1202
797	4726	1196
798	4731	1190
799	4735	1183
800	4740	1177
801	4744	1171
802	4749	1165
803	4753	1158
804	4758	1152
805	4762	1146
806	4766	1140
807	4771	1133
808	4775	1127
809	4780	1121
810	4784	1115
811	4789	1108
812	4793	1102
813	4798	1096
814	4804	1090
815	4809	1084
816	4815	1078
817	4828	1074
818	4840	1069
819	4846	1063
820	4850	1057
821	4856	1051
822	4861	1045
823	4866	1039
824	4871	1033
825	4876	1027
826	4881	1021
827	4886	1015
828	4891	1008
829	4903	1004
830	4911	998
831	4917	992
832	4921	986
833	4926	980
834	4931	974
835	4936	968
836	4940	962
837	4945	955
838	4949	949
839	4954	943
840	4958	937
841	4962	931
842	4967	925
843	4972	919
844	4977	913
845	4983	907
846	4988	901
847	4993	895
848	4999	889
849	5004	883
850	5008	876
851	5013	870
852	5018	864
853	5022	858
854	5027	852
855	5031	846
856	5035	840
857	5040	834
858	5044	827
859	5049	821
860	5053	815
861	5058	809
862	5063	803
863	5068	797
864	5073	791
865	5078	785
866	5083	779
867	5088	773
868	5093	767
869	5106	763
870	5119	758
871	5133	753
872	5146	748
873	5155	743
874	5161	737
875	5166	731
876	5178	726
877	5185	720
878	5190	714
879	5195	708
880	5200	702
881	5205	696
882	5210	690
883	5215	684
884	5220	678
885	5225	672
886	5230	666
887	5235	660
888	5240	654
889	5246	648
890	5250	642
891	5255	636
892	5261	630
893	5265	624
894	5270	618
895	5276	612
896	5280	606
897	5285	600
898	5292	594
899	5296	588
900	5301	582
901	5306	576
902	5311	570
903	5315	564
904	5320	558
905	5324	552
906	5329	546
907	5334	540
908	5339	534
909	5344	528
910	5349	522
911	5355	516
912	5359	510
913	5364	504
914	5369	498
915	5374	492
916	5379	486
917	5384	480
918	5389	475
919	5394	469
920	5398	463
921	5403	457
922	5408	451
923	5412	445
924	5417	439
925	5421	433
926	5426	427
927	5430	421
928	5435	415
929	5439	409
930	5444	403
931	5448	397
932	5452	391
933	5457	385
934	5461	379
935	5466	373
936	5471	367
937	5475	361
938	5479	355
939	5485	350
940	5491	344
941	5496	338
942	5502	332
943	5507	326
944	5512	320
945	5519	315
946	5532	309
947	5544	304
948	5552	298
949	5565	292
950	5571	287
951	5582	281
952	5586	275
953	5591	269
954	5596	263
955	5600	257
956	5605	251
957	5609	245
958	5614	240
959	5618	234
960	5623	228
961	5629	222
962	5633	216
963	5638	210
964	5643	204
965	5647	198
966	5652	192
967	5657	187
968	5661	181
969	5666	175
970	5670	169
971	5675	163
972	5679	157
973	5684	151
974	5688	145
975	5692	139
976	5697	134
977	5701	128
978	5706	122
979	5710	116
980	5715	110
981	5719	104
982	5724	98
983	5728	93
984	5742	87
985	5747	81
986	5751	75
987	5757	69
988	5762	64
989	5766	58
990	5771	52
991	5776	46
992	5780	40
993	5785	34
994	5789	29
995	5794	23
996	5799	17
997	5803	11
998	5813	5
999	5817	0
