iter	RMSE
255	426184.1913
256	426180.6394
257	426016.147
258	425952.4191
259	425681.921
260	425541.1021
261	425403.3527
262	425326.4393
263	425210.6139
264	425022.9601
265	425002.7543
266	424932.3361
267	424821.984
268	424686.0939
269	424497.5285
270	424330.1381
271	424286.8925
272	424133.1072
273	424003.7167
274	423845.9835
275	423828.3903
276	423626.1808
277	423561.2779
278	423506.718
279	423353.9224
280	423208.5657
281	423169.299
282	423089.3911
283	422995.7897
284	422893.9294
285	422824.3529
286	422637.0532
287	422543.9349
288	422453.1919
289	422405.2005
290	422346.1051
291	422171.8687
292	422078.4169
293	421930.2574
294	421744.801
295	421714.7172
296	421690.664
297	421574.3131
298	421545.4166
299	421432.5755
300	421275.0855
301	421090.9442
302	420971.3678
303	420967.0066
304	420882.849
305	420747.784
306	420704.6468
307	420634.9205
308	420627.3972
309	420566.7499
310	420387.8144
311	420274.8625
312	420144.9572
313	419977.6797
314	419889.7852
315	419826.7838
316	419733.328
317	419654.6591
318	419437.5794
319	419371.9089
320	419164.8912
321	419046.9016
322	419017.3282
323	418947.0967
324	418877.4888
325	418770.7394
326	418681.1307
327	418517.6464
328	418451.7092
329	418248.2947
330	418156.9566
331	418110.1397
332	417968.0494
333	417885.1477
334	417767.0913
335	417597.1485
336	417525.7769
337	417444.6826
338	417397.5417
339	417291.2679
340	417177.4517
341	417034.3269
342	416968.7916
343	416841.0383
344	416783.6822
345	416615.1099
346	416529.7999
347	416420.1595
348	416417.1709
349	416413.106
350	416318.8111
351	416176.2269
352	416011.1533
353	415963.3515
354	415909.9761
355	415842.9025
356	415700.5998
357	415570.0614
358	415508.3744
359	415446.9266
360	415279.8654
361	415175.4789
362	415165.2292
363	415099.8468
364	415029.9197
365	415026.0658
366	414888.7693
367	414857.7371
368	414627.2191
369	414506.625
370	414436.0222
371	414379.9847
372	414233.7963
373	414137.8563
374	414085.75
375	413945.6817
376	413828.5971
377	413657.5618
378	413600.3659
379	413545.3038
380	413497.8315
381	413410.1257
382	413382.3109
383	413345.3976
384	413268.6223
385	413142.6674
386	413115.1445
387	413038.6294
388	412847.9444
389	412786.7957
390	412700.382
391	412690.3497
392	412642.4968
393	412596.5054
394	412529.5406
395	412398.8222
396	412238.2118
397	412154.1441
398	412114.8107
399	412068.9826
400	411935.2559
401	411877.7825
402	411762.1494
403	411700.5844
404	411561.655
405	411494.5293
406	411415.881
407	411381.2406
408	411333.9488
409	411198.2112
410	411151.493
411	410976.5786
412	410753.9774
413	410625.9546
414	410509.8756
415	410469.3205
416	410425.7439
417	410365.4461
418	410324.4559
419	410285.6638
420	410170.9571
421	410004.336
422	409886.4635
423	409813.3233
424	409656.7742
425	409516.8275
426	409374.7068
427	409255.2031
428	409129.0124
429	409091.4455
430	409022.107
431	408920.0701
432	408911.619
433	408822.6872
434	408702.867
435	408588.2464
436	408448.6123
437	408343.0873
438	408289.503
439	408082.0616
440	407993.419
441	407884.8994
442	407800.3787
443	407663.8898
444	407569.6912
445	407440.0613
446	407342.7345
447	407261.1038
448	407200.1383
449	407170.1347
450	407067.366
451	406905.7523
452	406793.7305
453	406692.1345
454	406571.0628
455	406458.5205
456	406373.9841
457	406334.5226
458	406214.899
459	406059.6818
460	406001.4089
461	405922.4272
462	405779.1777
463	405678.3512
464	405602.5827
465	405492.8239
466	405380.4383
467	405321.8445
468	405231.4894
469	405119.7761
470	405028.354
471	404966.1039
472	404864.4792
473	404748.0165
474	404669.6691
475	404650.1556
476	404590.4606
477	404523.1623
478	404502.3881
479	404452.8503
480	404349.8489
481	404325.6039
482	404248.4257
483	404060.8927
484	403988.7573
485	403916.2025
486	403805.0266
487	403780.0409
488	403702.4457
489	403633.7852
490	403609.7888
491	403508.8879
492	403479.725
493	403390.9368
494	403336.0775
495	403251.0065
496	403198.1678
497	403100.0982
498	403007.4358
499	402940.8617
500	402887.8316
501	402711.576
502	402609.5393
503	402534.5523
504	402515.3488
505	402425.1717
506	402385.4157
507	402334.7122
508	402249.1269
509	402169.222
510	402091.9982
511	401993.0585
512	401956.5882
513	401881.9499
514	401864.6418
515	401847.5048
516	401694.6526
517	401679.0955
518	401615.3324
519	401498.2115
520	401353.559
521	401255.6899
522	401176.7009
523	401086.4198
524	400966.6262
525	400814.715
526	400675.8451
527	400602.2863
528	400455.4349
529	400390.8548
530	400372.3326
531	400258.328
532	400169.3723
533	400117.2353
534	400062.2854
535	399992.5922
536	399861.8178
537	399800.4984
538	399723.8307
539	399611.489
540	399472.5203
541	399361.9398
542	399302.8175
543	399175.0095
544	399085.319
545	399037.3017
546	398989.8872
547	398868.4409
548	398812.0171
549	398682.0985
550	398586.8866
551	398506.1485
552	398410.2366
553	398392.6261
554	398339.1907
555	398254.5426
556	398206.2519
557	398184.3446
558	398144.4712
559	398044.8127
560	397959.0866
561	397865.4663
562	397783.4065
563	397687.6661
564	397518.5718
565	397429.238
566	397402.9613
567	397355.7183
568	397323.6595
569	397220.4463
570	397169.2111
571	397135.1923
572	397026.1156
573	397007.9089
574	396924.3581
575	396846.2711
576	396757.929
577	396704.344
578	396620.4312
579	396547.1703
580	396448.2739
581	396374.2849
582	396315.2568
583	396234.9559
584	396167.7889
585	396044.4757
586	395997.0766
587	395939.5519
588	395925.2643
589	395809.6105
590	395745.4782
591	395699.3624
592	395617.5524
593	395598.0576
594	395592.1261
595	395538.2488
596	395489.4838
597	395379.9615
598	395296.2131
599	395280.025
600	395235.7222
601	395198.8791
602	395074.6454
603	395014.5557
604	394925.931
605	394873.7426
606	394776.667
607	394752.6857
608	394696.2401
609	394673.1407
610	394562.1351
611	394507.2308
612	394464.3385
613	394377.281
614	394305.0976
615	394242.5447
616	394152.4115
617	394100.582
618	394002.5922
619	393949.2835
620	393905.1526
621	393779.0214
622	393714.6704
623	393635.8448
624	393550.3891
625	393504.7346
626	393435.0891
627	393374.6307
628	393277.6278
629	393244.8361
630	393144.9791
631	393070.1739
632	392968.6553
633	392878.8252
634	392802.5441
635	392649.9511
636	392599.3521
637	392462.2798
638	392412.1673
639	392365.5374
640	392309.995
641	392209.0848
642	392138.0696
643	392047.9353
644	392035.2581
645	391937.2021
646	391869.4955
647	391818.6825
648	391740.5524
649	391679.349
650	391647.5374
651	391580.9567
652	391511.3345
653	391366.9622
654	391281.5692
655	391265.8579
656	391206.7819
657	391182.5608
658	391110.8699
659	391063.4635
660	390978.5084
661	390893.6873
662	390828.2831
663	390809.6782
664	390726.413
665	390673.439
666	390592.6166
667	390536.2071
668	390495.2654
669	390409.8267
670	390354.1932
671	390272.7081
672	390179.8743
673	390100.6426
674	390023.4239
675	389973.2073
676	389950.1355
677	389870.0767
678	389834.4017
679	389755.1315
680	389732.8375
681	389658.0177
682	389578.3082
683	389505.8733
684	389469.2622
685	389423.6718
686	389352.3603
687	389306.7957
688	389255.3944
689	389242.7408
690	389212.1341
691	389199.838
692	389143.9201
693	389128.901
694	389106.2942
695	389028.0079
696	388961.6767
697	388888.8533
698	388813.8787
699	388682.0126
700	388639.9921
701	388567.2048
702	388510.6239
703	388497.2072
704	388475.6949
705	388368.4027
706	388284.6805
707	388214.8305
708	388148.6712
709	388128.4569
710	388051.57
711	387939.8912
712	387872.2812
713	387774.7756
714	387699.1488
715	387637.5795
716	387601.2253
717	387583.6866
718	387510.0717
719	387442.3429
720	387318.1435
721	387240.282
722	387181.7787
723	387127.5398
724	387111.5582
725	387045.316
726	386971.1124
727	386916.8862
728	386843.9892
729	386770.5257
730	386756.5105
731	386690.85
732	386627.6378
733	386568.0683
734	386496.4388
735	386474.428
736	386404.0281
737	386326.0678
738	386273.952
739	386224.2583
740	386155.0215
741	386086.5435
742	386018.5308
743	385949.5801
744	385882.7087
745	385816.9985
746	385752.4249
747	385688.9639
748	385630.4679
749	385568.11
750	385506.8178
751	385457.2392
752	385396.9981
753	385337.7787
754	385304.3952
755	385240.3431
756	385163.2224
757	385061.4616
758	385049.9722
759	385002.6631
760	384921.0017
761	384885.1605
762	384843.4685
763	384786.5117
764	384729.8247
765	384671.7817
766	384600.9966
767	384543.9125
768	384492.3991
769	384435.9219
770	384407.0571
771	384370.5027
772	384303.3661
773	384259.9346
774	384163.5174
775	384120.5113
776	384075.1423
777	384046.169
778	384015.0027
779	383988.8856
780	383927.6773
781	383920.3855
782	383855.1352
783	383787.3875
784	383731.0875
785	383696.1145
786	383638.8868
787	383597.341
788	383519.1396
789	383463.2094
790	383435.6748
791	383428.4139
792	383365.3323
793	383352.8276
794	383299.608
795	383249.2592
796	383188.4269
797	383161.536
798	383110.9887
799	383071.0612
800	382997.7146
801	382948.3261
802	382929.9053
803	382860.0631
804	382804.7045
805	382704.3527
806	382671.7497
807	382618.1595
808	382581.2541
809	382517.2614
810	382472.1599
811	382461.205
812	382410.2309
813	382399.574
814	382373.8138
815	382319.4033
816	382247.6048
817	382181.6818
818	382169.9569
819	382122.6029
820	382111.0209
821	382068.3736
822	382041.6137
823	381984.4895
824	381939.0031
825	381921.7913
826	381868.181
827	381823.3983
828	381750.5723
829	381697.8017
830	381633.1022
831	381602.9558
832	381582.1654
833	381514.3485
834	381503.4238
835	381429.97
836	381419.3046
837	381367.3616
838	381316.2833
839	381266.053
840	381240.651
841	381228.2197
842	381141.6244
843	381109.4921
844	381043.6578
845	381030.5321
846	380977.8902
847	380928.5278
848	380879.9797
849	380829.7323
850	380771.1689
851	380730.0129
852	380668.8613
853	380657.4825
854	380647.2355
855	380586.4826
856	380544.2156
857	380526.3629
858	380479.4898
859	380433.7077
860	380368.3235
861	380322.0694
862	380300.1807
863	380243.8318
864	380183.5225
865	380171.7481
866	380123.9817
867	380113.2167
868	380061.3965
869	380006.9591
870	379988.3888
871	379948.1753
872	379895.5205
873	379818.9974
874	379772.026
875	379730.4989
876	379706.5774
877	379649.4114
878	379604.696
879	379558.4958
880	379479.1003
881	379381.058
882	379375.7728
883	379345.3379
884	379322.1596
885	379285.5198
886	379234.8358
887	379165.0604
888	379156.1294
889	379110.6111
890	379094.7781
891	379039.8263
892	378966.3041
893	378904.7951
894	378842.9245
895	378784.0544
896	378772.4316
897	378759.9888
898	378672.9222
899	378655.8477
900	378600.28
901	378572.1673
902	378527.9341
903	378467.6999
904	378428.2283
905	378387.6383
906	378346.6014
907	378340.7923
908	378285.717
909	378231.7819
910	378192.6165
911	378144.1111
912	378128.7588
913	378124.3017
914	378091.0448
915	378081.5253
916	378039.3093
917	378010.4113
918	377914.5302
919	377882.0805
920	377859.1862
921	377845.8896
922	377811.9742
923	377754.2346
924	377679.8385
925	377669.1845
926	377630.2697
927	377546.923
928	377533.6424
929	377497.3466
930	377430.6043
931	377375.1259
932	377347.1249
933	377295.1818
934	377254.1642
935	377200.8933
936	377121.3946
937	377037.166
938	377019.5219
939	376966.5337
940	376916.1549
941	376866.793
942	376825.9924
943	376785.8793
944	376737.7549
945	376716.2025
946	376658.3909
947	376651.3572
948	376600.5112
949	376561.9098
950	376537.023
951	376509.343
952	376493.2536
953	376452.4566
954	376403.6691
955	376342.7249
956	376318.2235
957	376303.1088
958	376276.1818
959	376225.4439
960	376194.1065
961	376144.0382
962	376090.1448
963	376028.3585
964	375973.7146
965	375919.1815
966	375847.5991
967	375802.0844
968	375755.2103
969	375661.7802
970	375601.8946
971	375557.2981
972	375516.4129
973	375471.3343
974	375425.0947
975	375417.118
976	375407.5754
977	375330.576
978	375300.6632
979	375236.5701
980	375194.3039
981	375173.4743
982	375119.4387
983	375071.7506
984	375024.054
985	375015.2957
986	374981.0242
987	374962.2289
988	374908.1039
989	374877.2533
990	374804.3252
991	374764.3538
992	374752.7531
993	374727.5088
994	374681.8823
995	374636.8876
996	374580.5022
997	374553.4959
998	374519.9581
999	374509.5896
